sleep_hours,study_hours,academic_pressure,peer_pressure,financial_stress,physical_activity,diet_quality,screen_time,attendance,social_support,stress_level
7.0960569836134795,5.599033154879003,6,4,4,2.1374763451411454,3,9.03615476543564,95.42541592092509,2,Medium
6.334082838594578,4.886950524369153,3,10,6,4.089342649851798,5,5.461074255656609,89.63162097878822,1,High
7.277226245720831,3.5894455548802613,8,5,8,1.3716638512037669,1,4.106104544834669,71.18567347469701,7,High
8.32763582768963,2.529594833441639,3,5,3,1.899690359007447,2,5.674726132693732,87.20897656081388,2,Low
6.219015950331997,4.547334970420385,2,6,1,1.9695596684972336,3,4.142650406237388,73.48975290542266,1,Low
6.219035651660984,4.090228078132625,3,10,3,1.8975782339830203,2,5.1858604682279745,75.35432067570825,6,Medium
8.39505537860887,4.842789830041598,6,10,3,0.9307893430388396,4,2.565039625528331,78.48089964614363,6,Medium
7.42092167498349,4.4527577025229546,2,6,5,0.41635017483950176,3,4.982829596280789,85.44873235659702,10,Low
5.936630736878057,5.074329072979003,8,8,4,2.4172015743791935,3,4.04429520792965,88.74485577591285,2,High
7.1510720523031575,2.697147182659148,1,8,4,1.3665262144493429,4,2.7545267492626406,80.91058110758729,1,Low
5.943898768625045,5.476091098451489,7,9,9,3.90780878898128,5,8.951471736145285,81.34817383706266,10,High
5.941124295715692,3.7963994070385993,2,8,7,1.9274576767647604,3,2.8325292601196677,79.96756344698319,3,Medium
6.790354725879241,6.612891308937899,10,2,4,1.7485107425085096,2,5.013928446883875,95.47513637087629,10,Medium
4.2040637064106425,2.4662182728656483,6,10,3,3.0943397864026543,1,3.3943839301024856,56.470564964003465,5,High
4.43009860098436,6.103945704747874,2,1,6,2.4021926374477216,2,5.59407894175975,81.91322590325217,6,Low
5.825254964910833,3.796866175193972,2,10,3,1.8244825722129512,5,2.451229731062165,100.0,3,Low
5.284602655598691,2.5228729945783277,10,2,6,1.3592682522355566,1,6.6807136478711024,90.17230050277387,9,High
6.877096799114328,2.7741712489185177,8,2,9,5.657701803999075,2,9.072312372717683,97.66847240567125,5,Medium
5.410371109374547,3.01947903770852,2,3,6,2.3617857622617384,2,3.3209215257986604,64.65751140489077,2,Medium
4.8052355583976505,4.136248919602875,7,10,4,3.0844295773843964,4,7.433937725362641,72.57750768530877,10,High
8.258778522705864,4.284253232053249,3,7,5,0.9770544797665046,5,4.23624131120862,90.14048140686468,6,Low
